fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,55,32.6,43.3,24.1,1.14,4.5,5.8,0.841594702,55.8
1,97,19.8,67,13.2,1.14,3.56,9.8,1.069392784,48.7
1,166,27.7,41.6,30.7,1.15,3,95.3,2.057259609,39.4
1,1015,45.7,30.4,24,0.85,0.49,23.01,1.36,62
1,1066,13.5,25.5,61,1.23,1.27,490.91,2.69,25
1,166,27.7,41.6,30.7,1.15,3,210.4,2.401212444,33.8
1,1016,54.2,34.4,11,0.95,1.01,175.39,2.24,39
1,1059,41.3,26.9,32,1.04,1.18,4.16,0.62,61
1,160,37.6,42.2,20.2,1.36,2,31.8,1.580593828,38.1
1,20,39.2,50.2,10.6,1.42,5.82,178.3,2.329318051,32.4
1,114,26,40.5,33.5,0.56,5.74,105.2,2.100182448,48.1
1,1059,41.3,26.9,32,1.04,1.18,4.85,0.69,60
1,1018,37.2,22,41,1.11,0.91,220.8,2.34,35
1,8,60,33.4,6.6,1.47,3.61,372.3,2.649059744,43.4
1,4,25,57.8,17.2,1.42,0.01,709,2.928812943,36.4
1,46,16,77.8,6.2,1.35,0.86,0.1,-0.921833292,49
1,1045,51.1,35.3,14,0.77,1.02,23.6,1.37,61
1,46,16,77.8,6.2,1.35,0.86,2.1,0.400386003,48.8
1,8,60,33.4,6.6,1.47,3.61,160.1,2.28255804,45
1,152,29.9,54.2,15.9,1.39,5,6.7,0.904241511,48.3
1,88,12.8,71.9,15.3,1.22,0.01,371.5,2.648125526,30.7
1,1018,37.2,22,41,1.11,0.91,296.48,2.47,33
1,1069,10.5,18.4,71,1.17,0.8,224.39,2.35,22
1,115,26,40.5,33.5,0.57,5.74,23.2,1.443654693,64.9
1,1059,41.3,26.9,32,1.04,1.18,85.9,1.93,40
1,152,29.9,54.2,15.9,1.39,5,8.9,1.027556715,48.3
1,46,16,77.8,6.2,1.35,0.86,641.7,2.885498747,31.2
1,46,16,77.8,6.2,1.35,0.86,63.1,1.878196067,40.4
1,20,39.2,50.2,10.6,1.42,5.82,710.6,2.929791911,28.7
1,46,16,77.8,6.2,1.35,0.86,650.6,2.891480767,31.2
